sample_idx,raw,ch1_volts
0,151,0.718750
1,151,0.718750
2,39,-2.781250
3,151,0.718750
4,37,-2.843750
5,39,-2.781250
6,36,-2.875000
7,37,-2.843750
8,36,-2.875000
9,37,-2.843750
10,36,-2.875000
11,37,-2.843750
12,36,-2.875000
13,37,-2.843750
14,36,-2.875000
15,37,-2.843750
16,36,-2.875000
17,37,-2.843750
18,36,-2.875000
19,37,-2.843750
20,37,-2.843750
21,37,-2.843750
22,36,-2.875000
23,37,-2.843750
24,36,-2.875000
25,37,-2.843750
26,36,-2.875000
27,37,-2.843750
28,37,-2.843750
29,37,-2.843750
30,36,-2.875000
31,37,-2.843750
32,36,-2.875000
33,38,-2.812500
34,37,-2.843750
35,38,-2.812500
36,37,-2.843750
37,37,-2.843750
38,37,-2.843750
39,37,-2.843750
40,37,-2.843750
41,37,-2.843750
42,36,-2.875000
43,37,-2.843750
44,37,-2.843750
45,37,-2.843750
46,37,-2.843750
47,37,-2.843750
48,37,-2.843750
49,38,-2.812500
50,36,-2.875000
51,38,-2.812500
52,36,-2.875000
53,149,0.656250
54,149,0.656250
55,152,0.750000
56,152,0.750000
57,152,0.750000
58,152,0.750000
59,152,0.750000
60,152,0.750000
61,152,0.750000
62,151,0.718750
63,152,0.750000
64,151,0.718750
65,152,0.750000
66,150,0.687500
67,152,0.750000
68,151,0.718750
69,151,0.718750
70,151,0.718750
71,152,0.750000
72,151,0.718750
73,151,0.718750
74,150,0.687500
75,152,0.750000
76,151,0.718750
77,152,0.750000
78,151,0.718750
79,152,0.750000
80,151,0.718750
81,152,0.750000
82,151,0.718750
83,152,0.750000
84,151,0.718750
85,152,0.750000
86,151,0.718750
87,152,0.750000
88,151,0.718750
89,152,0.750000
90,151,0.718750
91,151,0.718750
92,151,0.718750
93,151,0.718750
94,151,0.718750
95,152,0.750000
96,151,0.718750
97,152,0.750000
98,151,0.718750
99,152,0.750000
100,151,0.718750
101,152,0.750000
102,39,-2.781250
103,152,0.750000
104,36,-2.875000
105,39,-2.781250
106,36,-2.875000
107,37,-2.843750
108,36,-2.875000
109,37,-2.843750
110,36,-2.875000
111,37,-2.843750
112,37,-2.843750
113,37,-2.843750
114,36,-2.875000
115,37,-2.843750
116,36,-2.875000
117,37,-2.843750
118,36,-2.875000
119,37,-2.843750
120,36,-2.875000
121,37,-2.843750
122,36,-2.875000
123,37,-2.843750
124,36,-2.875000
125,37,-2.843750
126,36,-2.875000
127,37,-2.843750
128,36,-2.875000
129,37,-2.843750
130,36,-2.875000
131,37,-2.843750
132,36,-2.875000
133,37,-2.843750
134,36,-2.875000
135,37,-2.843750
136,36,-2.875000
137,37,-2.843750
138,36,-2.875000
139,37,-2.843750
140,36,-2.875000
141,38,-2.812500
142,36,-2.875000
143,38,-2.812500
144,36,-2.875000
145,38,-2.812500
146,36,-2.875000
147,37,-2.843750
148,36,-2.875000
149,37,-2.843750
150,36,-2.875000
151,37,-2.843750
152,37,-2.843750
153,149,0.656250
154,149,0.656250
155,152,0.750000
156,151,0.718750
157,152,0.750000
158,151,0.718750
159,152,0.750000
160,151,0.718750
161,152,0.750000
162,151,0.718750
163,152,0.750000
164,151,0.718750
165,152,0.750000
166,151,0.718750
167,152,0.750000
168,151,0.718750
169,152,0.750000
170,151,0.718750
171,152,0.750000
172,151,0.718750
173,152,0.750000
174,151,0.718750
175,152,0.750000
176,151,0.718750
177,152,0.750000
178,151,0.718750
179,152,0.750000
180,151,0.718750
181,152,0.750000
182,151,0.718750
183,152,0.750000
184,151,0.718750
185,152,0.750000
186,151,0.718750
187,152,0.750000
188,151,0.718750
189,152,0.750000
190,151,0.718750
191,152,0.750000
192,151,0.718750
193,152,0.750000
194,151,0.718750
195,152,0.750000
196,151,0.718750
197,152,0.750000
198,151,0.718750
199,152,0.750000
200,151,0.718750
201,152,0.750000
202,38,-2.812500
203,151,0.718750
204,37,-2.843750
205,38,-2.812500
206,36,-2.875000
207,37,-2.843750
208,36,-2.875000
209,37,-2.843750
210,36,-2.875000
211,37,-2.843750
212,36,-2.875000
213,37,-2.843750
214,36,-2.875000
215,37,-2.843750
216,36,-2.875000
217,38,-2.812500
218,35,-2.906250
219,37,-2.843750
220,35,-2.906250
221,37,-2.843750
222,37,-2.843750
223,37,-2.843750
224,36,-2.875000
225,37,-2.843750
226,37,-2.843750
227,38,-2.812500
228,37,-2.843750
229,37,-2.843750
230,36,-2.875000
231,37,-2.843750
232,37,-2.843750
233,37,-2.843750
234,36,-2.875000
235,37,-2.843750
236,37,-2.843750
237,37,-2.843750
238,37,-2.843750
239,37,-2.843750
240,37,-2.843750
241,37,-2.843750
242,36,-2.875000
243,37,-2.843750
244,37,-2.843750
245,37,-2.843750
246,36,-2.875000
247,37,-2.843750
248,36,-2.875000
249,37,-2.843750
250,36,-2.875000
251,37,-2.843750
252,37,-2.843750
253,149,0.656250
254,149,0.656250
255,152,0.750000
256,152,0.750000
257,153,0.781250
258,152,0.750000
259,153,0.781250
260,151,0.718750
261,153,0.781250
262,151,0.718750
263,152,0.750000
264,151,0.718750
265,152,0.750000
266,151,0.718750
267,152,0.750000
268,151,0.718750
269,152,0.750000
270,151,0.718750
271,152,0.750000
272,151,0.718750
273,152,0.750000
274,150,0.687500
275,152,0.750000
276,150,0.687500
277,152,0.750000
278,151,0.718750
279,152,0.750000
280,151,0.718750
281,151,0.718750
282,150,0.687500
283,152,0.750000
284,150,0.687500
285,153,0.781250
286,150,0.687500
287,152,0.750000
288,151,0.718750
289,151,0.718750
290,151,0.718750
291,151,0.718750
292,151,0.718750
293,152,0.750000
294,151,0.718750
295,152,0.750000
296,151,0.718750
297,152,0.750000
298,151,0.718750
299,151,0.718750
300,150,0.687500
301,152,0.750000
302,38,-2.812500
303,151,0.718750
304,37,-2.843750
305,38,-2.812500
306,36,-2.875000
307,37,-2.843750
308,36,-2.875000
309,37,-2.843750
310,36,-2.875000
311,37,-2.843750
312,36,-2.875000
313,37,-2.843750
314,37,-2.843750
315,37,-2.843750
316,36,-2.875000
317,37,-2.843750
318,36,-2.875000
319,37,-2.843750
320,37,-2.843750
321,37,-2.843750
322,37,-2.843750
323,37,-2.843750
324,36,-2.875000
325,37,-2.843750
326,36,-2.875000
327,37,-2.843750
328,36,-2.875000
329,37,-2.843750
330,36,-2.875000
331,37,-2.843750
332,36,-2.875000
333,37,-2.843750
334,35,-2.906250
335,37,-2.843750
336,37,-2.843750
337,37,-2.843750
338,37,-2.843750
339,37,-2.843750
340,36,-2.875000
341,37,-2.843750
342,36,-2.875000
343,37,-2.843750
344,37,-2.843750
345,37,-2.843750
346,37,-2.843750
347,37,-2.843750
348,37,-2.843750
349,37,-2.843750
350,37,-2.843750
351,37,-2.843750
352,36,-2.875000
353,149,0.656250
354,149,0.656250
355,152,0.750000
356,152,0.750000
357,152,0.750000
358,151,0.718750
359,153,0.781250
360,151,0.718750
361,152,0.750000
362,151,0.718750
363,152,0.750000
364,151,0.718750
365,152,0.750000
366,152,0.750000
367,152,0.750000
368,151,0.718750
369,152,0.750000
370,151,0.718750
371,153,0.781250
372,151,0.718750
373,153,0.781250
374,151,0.718750
375,152,0.750000
376,151,0.718750
377,152,0.750000
378,151,0.718750
379,152,0.750000
380,151,0.718750
381,152,0.750000
382,151,0.718750
383,152,0.750000
384,151,0.718750
385,152,0.750000
386,151,0.718750
387,152,0.750000
388,151,0.718750
389,152,0.750000
390,151,0.718750
391,151,0.718750
392,151,0.718750
393,152,0.750000
394,151,0.718750
395,152,0.750000
396,151,0.718750
397,151,0.718750
398,151,0.718750
399,152,0.750000
400,151,0.718750
401,152,0.750000
402,39,-2.781250
403,152,0.750000
404,37,-2.843750
405,39,-2.781250
406,36,-2.875000
407,37,-2.843750
408,36,-2.875000
409,37,-2.843750
410,36,-2.875000
411,37,-2.843750
412,36,-2.875000
413,37,-2.843750
414,36,-2.875000
415,37,-2.843750
416,36,-2.875000
417,37,-2.843750
418,36,-2.875000
419,38,-2.812500
420,36,-2.875000
421,38,-2.812500
422,36,-2.875000
423,37,-2.843750
424,36,-2.875000
425,37,-2.843750
426,36,-2.875000
427,37,-2.843750
428,37,-2.843750
429,37,-2.843750
430,37,-2.843750
431,37,-2.843750
432,36,-2.875000
433,37,-2.843750
434,36,-2.875000
435,37,-2.843750
436,37,-2.843750
437,37,-2.843750
438,37,-2.843750
439,37,-2.843750
440,37,-2.843750
441,37,-2.843750
442,37,-2.843750
443,37,-2.843750
444,37,-2.843750
445,37,-2.843750
446,36,-2.875000
447,37,-2.843750
448,37,-2.843750
449,37,-2.843750
450,37,-2.843750
451,37,-2.843750
452,36,-2.875000
453,149,0.656250
454,149,0.656250
455,152,0.750000
456,151,0.718750
457,152,0.750000
458,152,0.750000
459,152,0.750000
460,152,0.750000
461,152,0.750000
462,151,0.718750
463,152,0.750000
464,151,0.718750
465,152,0.750000
466,151,0.718750
467,152,0.750000
468,151,0.718750
469,152,0.750000
470,151,0.718750
471,152,0.750000
472,151,0.718750
473,152,0.750000
474,151,0.718750
475,152,0.750000
476,151,0.718750
477,152,0.750000
478,151,0.718750
