sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,102,0.797772,102,0.631609
1,99,0.610272,103,0.694109
2,94,0.297772,99,0.444109
3,90,0.047772,94,0.131609
4,85,-0.264728,90,-0.118391
5,82,-0.452228,85,-0.430891
6,77,-0.764728,82,-0.618391
7,74,-0.952228,77,-0.930891
8,71,-1.139728,74,-1.118391
9,68,-1.327228,71,-1.305891
10,65,-1.514728,68,-1.493391
11,64,-1.577228,66,-1.618391
12,61,-1.764728,64,-1.743391
13,60,-1.827228,61,-1.930891
14,60,-1.827228,60,-1.993391
15,59,-1.889728,60,-1.993391
16,60,-1.827228,60,-1.993391
17,60,-1.827228,61,-1.930891
18,61,-1.764728,62,-1.868391
19,62,-1.702228,65,-1.680891
20,65,-1.514728,67,-1.555891
21,67,-1.389728,69,-1.430891
22,69,-1.264728,73,-1.180891
23,73,-1.014728,76,-0.993391
24,76,-0.827228,80,-0.743391
25,80,-0.577228,85,-0.430891
26,85,-0.264728,89,-0.180891
27,89,-0.014728,93,0.069109
28,93,0.235272,97,0.319109
29,97,0.485272,101,0.569109
30,101,0.735272,105,0.819109
31,105,0.985272,109,1.069109
32,109,1.235272,113,1.319109
33,113,1.485272,116,1.506609
34,116,1.672772,119,1.694109
35,119,1.860272,122,1.881609
36,122,2.047772,124,2.006609
37,124,2.172772,125,2.069109
38,125,2.235272,127,2.194109
39,127,2.360272,128,2.256609
40,127,2.360272,128,2.256609
41,127,2.360272,128,2.256609
42,126,2.297772,127,2.194109
43,124,2.172772,126,2.131609
44,123,2.110272,124,2.006609
45,120,1.922772,123,1.944109
46,117,1.735272,120,1.756609
47,113,1.485272,117,1.569109
48,111,1.360272,114,1.381609
49,105,0.985272,111,1.194109
50,103,0.860272,106,0.881609
51,98,0.547772,103,0.694109
52,93,0.235272,98,0.381609
53,89,-0.014728,93,0.069109
54,86,-0.202228,90,-0.118391
55,82,-0.452228,86,-0.368391
56,78,-0.702228,82,-0.618391
57,74,-0.952228,78,-0.868391
58,70,-1.202228,74,-1.118391
59,68,-1.327228,70,-1.368391
60,65,-1.514728,68,-1.493391
61,64,-1.577228,65,-1.680891
62,61,-1.764728,64,-1.743391
63,60,-1.827228,61,-1.930891
64,59,-1.889728,60,-1.993391
65,59,-1.889728,60,-1.993391
66,59,-1.889728,60,-1.993391
67,60,-1.827228,61,-1.930891
68,61,-1.764728,63,-1.805891
69,63,-1.639728,65,-1.680891
70,65,-1.514728,67,-1.555891
71,67,-1.389728,70,-1.368391
72,70,-1.202228,73,-1.180891
73,73,-1.014728,77,-0.930891
74,77,-0.764728,80,-0.743391
75,80,-0.577228,85,-0.430891
76,85,-0.264728,89,-0.180891
77,89,-0.014728,93,0.069109
78,93,0.235272,97,0.319109
79,97,0.485272,101,0.569109
80,101,0.735272,105,0.819109
81,105,0.985272,109,1.069109
82,109,1.235272,113,1.319109
83,113,1.485272,116,1.506609
84,116,1.672772,119,1.694109
85,119,1.860272,122,1.881609
86,122,2.047772,124,2.006609
87,124,2.172772,126,2.131609
88,125,2.235272,127,2.194109
89,126,2.297772,128,2.256609
90,127,2.360272,128,2.256609
91,127,2.360272,129,2.319109
92,125,2.235272,127,2.194109
93,124,2.172772,126,2.131609
94,122,2.047772,124,2.006609
95,120,1.922772,123,1.944109
96,117,1.735272,121,1.819109
97,114,1.547772,117,1.569109
98,110,1.297772,114,1.381609
99,106,1.047772,110,1.131609
100,103,0.860272,106,0.881609
101,98,0.547772,103,0.694109
102,94,0.297772,98,0.381609
103,89,-0.014728,94,0.131609
104,85,-0.264728,89,-0.180891
105,81,-0.514728,86,-0.368391
106,78,-0.702228,81,-0.680891
107,74,-0.952228,78,-0.868391
108,71,-1.139728,74,-1.118391
109,68,-1.327228,71,-1.305891
110,65,-1.514728,68,-1.493391
111,63,-1.639728,65,-1.680891
112,61,-1.764728,63,-1.805891
113,60,-1.827228,61,-1.930891
114,60,-1.827228,61,-1.930891
115,60,-1.827228,60,-1.993391
116,60,-1.827228,60,-1.993391
117,60,-1.827228,61,-1.930891
118,61,-1.764728,62,-1.868391
119,62,-1.702228,65,-1.680891
120,65,-1.514728,67,-1.555891
