sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,123,2.290267,,
1,123,2.290267,,
2,67,-2.189733,,
3,123,2.290267,,
4,66,-2.269733,,
5,67,-2.189733,,
6,65,-2.349733,,
7,66,-2.269733,,
8,65,-2.349733,,
9,66,-2.269733,,
10,65,-2.349733,,
11,66,-2.269733,,
12,65,-2.349733,,
13,66,-2.269733,,
14,66,-2.269733,,
15,66,-2.269733,,
16,65,-2.349733,,
17,66,-2.269733,,
18,65,-2.349733,,
19,66,-2.269733,,
20,65,-2.349733,,
21,66,-2.269733,,
22,65,-2.349733,,
23,66,-2.269733,,
24,65,-2.349733,,
25,66,-2.269733,,
26,65,-2.349733,,
27,66,-2.269733,,
28,65,-2.349733,,
29,66,-2.269733,,
30,66,-2.269733,,
31,66,-2.269733,,
32,65,-2.349733,,
33,66,-2.269733,,
34,65,-2.349733,,
35,66,-2.269733,,
36,65,-2.349733,,
37,66,-2.269733,,
38,65,-2.349733,,
39,66,-2.269733,,
40,65,-2.349733,,
41,66,-2.269733,,
42,65,-2.349733,,
43,66,-2.269733,,
44,65,-2.349733,,
45,66,-2.269733,,
46,65,-2.349733,,
47,66,-2.269733,,
48,65,-2.349733,,
49,66,-2.269733,,
50,65,-2.349733,,
51,66,-2.269733,,
52,66,-2.269733,,
53,122,2.210267,,
54,122,2.210267,,
55,123,2.290267,,
56,123,2.290267,,
57,124,2.370267,,
58,123,2.290267,,
59,124,2.370267,,
60,123,2.290267,,
61,124,2.370267,,
62,123,2.290267,,
63,124,2.370267,,
64,123,2.290267,,
65,123,2.290267,,
66,123,2.290267,,
67,123,2.290267,,
68,123,2.290267,,
69,123,2.290267,,
70,123,2.290267,,
71,123,2.290267,,
72,122,2.210267,,
73,123,2.290267,,
74,122,2.210267,,
75,124,2.370267,,
76,123,2.290267,,
77,124,2.370267,,
78,122,2.210267,,
79,124,2.370267,,
80,122,2.210267,,
81,124,2.370267,,
82,123,2.290267,,
83,123,2.290267,,
84,122,2.210267,,
85,123,2.290267,,
86,122,2.210267,,
87,124,2.370267,,
88,123,2.290267,,
89,124,2.370267,,
90,122,2.210267,,
91,123,2.290267,,
92,122,2.210267,,
93,123,2.290267,,
94,123,2.290267,,
95,124,2.370267,,
96,123,2.290267,,
97,124,2.370267,,
98,123,2.290267,,
99,124,2.370267,,
100,122,2.210267,,
101,123,2.290267,,
102,67,-2.189733,,
103,123,2.290267,,
104,65,-2.349733,,
105,67,-2.189733,,
106,65,-2.349733,,
107,66,-2.269733,,
108,65,-2.349733,,
109,66,-2.269733,,
110,65,-2.349733,,
111,66,-2.269733,,
112,65,-2.349733,,
113,66,-2.269733,,
114,65,-2.349733,,
115,66,-2.269733,,
116,66,-2.269733,,
117,66,-2.269733,,
118,66,-2.269733,,
119,66,-2.269733,,
120,66,-2.269733,,
121,66,-2.269733,,
122,66,-2.269733,,
123,66,-2.269733,,
124,66,-2.269733,,
125,66,-2.269733,,
126,66,-2.269733,,
127,66,-2.269733,,
128,66,-2.269733,,
129,66,-2.269733,,
130,66,-2.269733,,
131,66,-2.269733,,
132,65,-2.349733,,
133,66,-2.269733,,
134,66,-2.269733,,
135,66,-2.269733,,
136,65,-2.349733,,
137,66,-2.269733,,
138,65,-2.349733,,
139,66,-2.269733,,
140,66,-2.269733,,
141,66,-2.269733,,
142,65,-2.349733,,
143,66,-2.269733,,
144,65,-2.349733,,
145,66,-2.269733,,
146,65,-2.349733,,
147,66,-2.269733,,
148,66,-2.269733,,
149,66,-2.269733,,
150,65,-2.349733,,
151,66,-2.269733,,
152,66,-2.269733,,
153,122,2.210267,,
154,122,2.210267,,
155,124,2.370267,,
156,123,2.290267,,
157,124,2.370267,,
158,123,2.290267,,
159,123,2.290267,,
160,123,2.290267,,
161,123,2.290267,,
162,122,2.210267,,
163,124,2.370267,,
164,123,2.290267,,
165,124,2.370267,,
166,122,2.210267,,
167,124,2.370267,,
168,123,2.290267,,
169,124,2.370267,,
170,123,2.290267,,
171,123,2.290267,,
172,122,2.210267,,
173,124,2.370267,,
174,123,2.290267,,
175,124,2.370267,,
176,123,2.290267,,
177,124,2.370267,,
178,123,2.290267,,
179,124,2.370267,,
180,122,2.210267,,
181,124,2.370267,,
182,122,2.210267,,
183,123,2.290267,,
184,123,2.290267,,
185,123,2.290267,,
186,123,2.290267,,
187,123,2.290267,,
188,123,2.290267,,
189,124,2.370267,,
190,123,2.290267,,
191,123,2.290267,,
192,123,2.290267,,
193,123,2.290267,,
194,122,2.210267,,
195,123,2.290267,,
196,122,2.210267,,
197,124,2.370267,,
198,123,2.290267,,
199,123,2.290267,,
200,123,2.290267,,
201,124,2.370267,,
202,67,-2.189733,,
203,123,2.290267,,
204,65,-2.349733,,
205,67,-2.189733,,
206,65,-2.349733,,
207,66,-2.269733,,
208,65,-2.349733,,
209,66,-2.269733,,
210,65,-2.349733,,
211,66,-2.269733,,
212,65,-2.349733,,
213,66,-2.269733,,
214,65,-2.349733,,
215,66,-2.269733,,
216,65,-2.349733,,
217,66,-2.269733,,
218,66,-2.269733,,
219,66,-2.269733,,
220,66,-2.269733,,
221,66,-2.269733,,
222,65,-2.349733,,
223,66,-2.269733,,
224,65,-2.349733,,
225,66,-2.269733,,
226,65,-2.349733,,
227,66,-2.269733,,
228,66,-2.269733,,
229,66,-2.269733,,
230,66,-2.269733,,
231,66,-2.269733,,
232,65,-2.349733,,
233,66,-2.269733,,
234,65,-2.349733,,
235,66,-2.269733,,
236,65,-2.349733,,
237,66,-2.269733,,
238,66,-2.269733,,
239,66,-2.269733,,
240,65,-2.349733,,
241,66,-2.269733,,
242,65,-2.349733,,
243,66,-2.269733,,
244,66,-2.269733,,
245,66,-2.269733,,
246,66,-2.269733,,
247,66,-2.269733,,
248,65,-2.349733,,
249,66,-2.269733,,
250,66,-2.269733,,
251,66,-2.269733,,
252,66,-2.269733,,
253,122,2.210267,,
254,122,2.210267,,
255,123,2.290267,,
256,123,2.290267,,
257,123,2.290267,,
258,122,2.210267,,
259,124,2.370267,,
260,123,2.290267,,
261,124,2.370267,,
262,123,2.290267,,
263,123,2.290267,,
264,123,2.290267,,
265,124,2.370267,,
266,123,2.290267,,
267,124,2.370267,,
268,123,2.290267,,
269,123,2.290267,,
270,122,2.210267,,
271,124,2.370267,,
272,123,2.290267,,
273,123,2.290267,,
274,123,2.290267,,
275,124,2.370267,,
276,122,2.210267,,
277,123,2.290267,,
278,123,2.290267,,
279,123,2.290267,,
280,122,2.210267,,
281,123,2.290267,,
282,123,2.290267,,
283,123,2.290267,,
284,123,2.290267,,
285,124,2.370267,,
286,122,2.210267,,
287,124,2.370267,,
288,122,2.210267,,
289,124,2.370267,,
290,123,2.290267,,
291,124,2.370267,,
