sample_idx,raw,ch1_volts
0,95,-1.031250
1,95,-1.031250
2,92,-1.125000
3,97,-0.968750
4,88,-1.250000
5,92,-1.125000
6,84,-1.375000
7,88,-1.250000
8,81,-1.468750
9,84,-1.375000
10,76,-1.625000
11,81,-1.468750
12,73,-1.718750
13,76,-1.625000
14,69,-1.843750
15,73,-1.718750
16,67,-1.906250
17,69,-1.843750
18,65,-1.968750
19,67,-1.906250
20,63,-2.031250
21,65,-1.968750
22,61,-2.093750
23,63,-2.031250
24,61,-2.093750
25,61,-2.093750
26,60,-2.125000
27,61,-2.093750
28,59,-2.156250
29,61,-2.093750
30,60,-2.125000
31,62,-2.062500
32,62,-2.062500
33,62,-2.062500
34,62,-2.062500
35,65,-1.968750
36,65,-1.968750
37,67,-1.906250
38,67,-1.906250
39,69,-1.843750
40,69,-1.843750
41,73,-1.718750
42,73,-1.718750
43,76,-1.625000
44,76,-1.625000
45,79,-1.531250
46,79,-1.531250
47,84,-1.375000
48,84,-1.375000
49,87,-1.281250
50,87,-1.281250
51,92,-1.125000
52,92,-1.125000
53,97,-0.968750
54,97,-0.968750
55,100,-0.875000
56,100,-0.875000
57,105,-0.718750
58,105,-0.718750
59,108,-0.625000
60,108,-0.625000
61,113,-0.468750
62,113,-0.468750
63,115,-0.406250
64,115,-0.406250
65,119,-0.281250
66,119,-0.281250
67,122,-0.187500
68,122,-0.187500
69,123,-0.156250
70,123,-0.156250
71,126,-0.062500
72,126,-0.062500
73,128,0.000000
74,127,-0.031250
75,129,0.031250
76,128,0.000000
77,129,0.031250
78,128,0.000000
79,128,0.000000
80,126,-0.062500
81,129,0.031250
82,126,-0.062500
83,127,-0.031250
84,123,-0.156250
85,126,-0.062500
86,122,-0.187500
87,123,-0.156250
88,119,-0.281250
89,122,-0.187500
90,116,-0.375000
91,119,-0.281250
92,113,-0.468750
93,116,-0.375000
94,109,-0.593750
95,113,-0.468750
96,105,-0.718750
97,109,-0.593750
98,101,-0.843750
99,105,-0.718750
100,97,-0.968750
101,101,-0.843750
102,93,-1.093750
103,97,-0.968750
104,89,-1.218750
105,93,-1.093750
106,84,-1.375000
107,89,-1.218750
108,79,-1.531250
109,84,-1.375000
110,77,-1.593750
111,79,-1.531250
112,73,-1.718750
113,77,-1.593750
114,70,-1.812500
115,73,-1.718750
116,67,-1.906250
117,70,-1.812500
118,65,-1.968750
119,67,-1.906250
120,62,-2.062500
121,65,-1.968750
122,61,-2.093750
123,62,-2.062500
124,61,-2.093750
125,62,-2.062500
126,60,-2.125000
127,61,-2.093750
128,60,-2.125000
129,61,-2.093750
130,60,-2.125000
131,61,-2.093750
132,61,-2.093750
133,63,-2.031250
134,62,-2.062500
135,65,-1.968750
136,64,-2.000000
137,66,-1.937500
138,66,-1.937500
139,69,-1.843750
140,69,-1.843750
141,73,-1.718750
142,73,-1.718750
143,76,-1.625000
144,76,-1.625000
145,80,-1.500000
146,80,-1.500000
147,83,-1.406250
148,83,-1.406250
149,87,-1.281250
150,87,-1.281250
151,92,-1.125000
152,92,-1.125000
153,97,-0.968750
154,97,-0.968750
155,101,-0.843750
156,101,-0.843750
157,104,-0.750000
158,104,-0.750000
159,109,-0.593750
160,109,-0.593750
161,113,-0.468750
162,113,-0.468750
163,115,-0.406250
164,115,-0.406250
165,119,-0.281250
166,119,-0.281250
167,121,-0.218750
168,121,-0.218750
169,124,-0.125000
170,124,-0.125000
171,125,-0.093750
172,125,-0.093750
173,127,-0.031250
174,127,-0.031250
175,129,0.031250
176,128,0.000000
177,129,0.031250
178,128,0.000000
179,129,0.031250
180,127,-0.031250
181,128,0.000000
182,126,-0.062500
183,127,-0.031250
184,124,-0.125000
185,126,-0.062500
186,122,-0.187500
187,124,-0.125000
188,119,-0.281250
189,122,-0.187500
190,116,-0.375000
191,119,-0.281250
