sample_idx,raw,ch1_volts
0,96,-1.000000
1,96,-1.000000
2,94,-1.062500
3,98,-0.937500
4,91,-1.156250
5,94,-1.062500
6,88,-1.250000
7,91,-1.156250
8,85,-1.343750
9,88,-1.250000
10,82,-1.437500
11,85,-1.343750
12,80,-1.500000
13,82,-1.437500
14,77,-1.593750
15,80,-1.500000
16,74,-1.687500
17,77,-1.593750
18,71,-1.781250
19,74,-1.687500
20,67,-1.906250
21,71,-1.781250
22,66,-1.937500
23,68,-1.875000
24,62,-2.062500
25,66,-1.937500
26,60,-2.125000
27,62,-2.062500
28,57,-2.218750
29,60,-2.125000
30,55,-2.281250
31,57,-2.218750
32,52,-2.375000
33,55,-2.281250
34,49,-2.468750
35,52,-2.375000
36,46,-2.562500
37,49,-2.468750
38,45,-2.593750
39,54,-2.312500
40,54,-2.312500
41,65,-1.968750
42,65,-1.968750
43,73,-1.718750
44,73,-1.718750
45,80,-1.500000
46,80,-1.500000
47,85,-1.343750
48,85,-1.343750
49,89,-1.218750
50,89,-1.218750
51,93,-1.093750
52,93,-1.093750
53,96,-1.000000
54,96,-1.000000
55,99,-0.906250
56,99,-0.906250
57,101,-0.843750
58,101,-0.843750
59,105,-0.718750
60,105,-0.718750
61,107,-0.656250
62,107,-0.656250
63,111,-0.531250
64,111,-0.531250
65,113,-0.468750
66,113,-0.468750
67,116,-0.375000
68,116,-0.375000
69,119,-0.281250
70,119,-0.281250
71,121,-0.218750
72,121,-0.218750
73,125,-0.093750
74,125,-0.093750
75,127,-0.031250
76,127,-0.031250
77,130,0.062500
78,130,0.062500
79,133,0.156250
80,133,0.156250
81,135,0.218750
82,134,0.187500
83,138,0.312500
84,138,0.312500
85,141,0.406250
86,141,0.406250
87,143,0.468750
88,135,0.218750
89,144,0.500000
90,125,-0.093750
91,135,0.218750
92,117,-0.343750
93,125,-0.093750
94,110,-0.562500
95,117,-0.343750
96,106,-0.687500
97,110,-0.562500
98,101,-0.843750
99,106,-0.687500
100,98,-0.937500
101,101,-0.843750
102,94,-1.062500
103,98,-0.937500
104,90,-1.187500
105,94,-1.062500
106,88,-1.250000
107,90,-1.187500
108,85,-1.343750
109,88,-1.250000
110,82,-1.437500
111,85,-1.343750
112,79,-1.531250
113,82,-1.437500
114,77,-1.593750
115,79,-1.531250
116,74,-1.687500
117,77,-1.593750
118,70,-1.812500
119,74,-1.687500
120,68,-1.875000
121,70,-1.812500
122,66,-1.937500
123,69,-1.843750
124,62,-2.062500
125,66,-1.937500
126,59,-2.156250
127,62,-2.062500
128,57,-2.218750
129,59,-2.156250
130,54,-2.312500
131,57,-2.218750
132,52,-2.375000
133,55,-2.281250
134,49,-2.468750
135,52,-2.375000
136,47,-2.531250
137,49,-2.468750
138,46,-2.562500
139,53,-2.343750
140,53,-2.343750
141,65,-1.968750
142,65,-1.968750
143,74,-1.687500
144,74,-1.687500
145,79,-1.531250
146,79,-1.531250
147,85,-1.343750
148,85,-1.343750
149,89,-1.218750
150,89,-1.218750
151,92,-1.125000
152,92,-1.125000
153,96,-1.000000
154,96,-1.000000
155,99,-0.906250
156,99,-0.906250
157,102,-0.812500
158,102,-0.812500
159,105,-0.718750
160,105,-0.718750
161,108,-0.625000
162,108,-0.625000
163,110,-0.562500
164,110,-0.562500
165,114,-0.437500
166,114,-0.437500
167,116,-0.375000
168,116,-0.375000
169,119,-0.281250
170,119,-0.281250
171,121,-0.218750
172,121,-0.218750
173,125,-0.093750
174,125,-0.093750
175,127,-0.031250
176,127,-0.031250
177,130,0.062500
178,130,0.062500
179,133,0.156250
180,133,0.156250
181,135,0.218750
182,135,0.218750
183,138,0.312500
184,138,0.312500
185,141,0.406250
186,141,0.406250
187,143,0.468750
188,134,0.187500
189,144,0.500000
190,125,-0.093750
191,134,0.187500
192,117,-0.343750
193,125,-0.093750
194,110,-0.562500
195,117,-0.343750
196,105,-0.718750
197,110,-0.562500
198,101,-0.843750
199,105,-0.718750
200,98,-0.937500
201,101,-0.843750
202,94,-1.062500
203,98,-0.937500
204,91,-1.156250
205,94,-1.062500
206,87,-1.281250
207,91,-1.156250
208,85,-1.343750
209,87,-1.281250
210,82,-1.437500
211,85,-1.343750
212,79,-1.531250
213,83,-1.406250
214,77,-1.593750
215,79,-1.531250
216,74,-1.687500
217,77,-1.593750
218,71,-1.781250
219,74,-1.687500
220,68,-1.875000
221,71,-1.781250
222,66,-1.937500
223,68,-1.875000
224,62,-2.062500
225,66,-1.937500
226,59,-2.156250
227,62,-2.062500
228,57,-2.218750
229,59,-2.156250
230,55,-2.281250
231,57,-2.218750
232,53,-2.343750
233,55,-2.281250
234,49,-2.468750
235,53,-2.343750
236,47,-2.531250
237,49,-2.468750
238,46,-2.562500
239,54,-2.312500
240,54,-2.312500
241,65,-1.968750
242,65,-1.968750
243,73,-1.718750
244,73,-1.718750
245,79,-1.531250
246,79,-1.531250
247,85,-1.343750
248,85,-1.343750
249,89,-1.218750
250,89,-1.218750
251,93,-1.093750
252,93,-1.093750
253,96,-1.000000
254,96,-1.000000
255,99,-0.906250
256,99,-0.906250
257,102,-0.812500
258,102,-0.812500
259,105,-0.718750
260,105,-0.718750
261,108,-0.625000
262,108,-0.625000
263,110,-0.562500
264,110,-0.562500
265,113,-0.468750
266,113,-0.468750
267,116,-0.375000
268,116,-0.375000
269,119,-0.281250
270,119,-0.281250
271,122,-0.187500
272,122,-0.187500
273,124,-0.125000
274,124,-0.125000
275,127,-0.031250
276,127,-0.031250
277,130,0.062500
278,130,0.062500
279,132,0.125000
280,131,0.093750
281,135,0.218750
282,135,0.218750
283,138,0.312500
284,138,0.312500
285,141,0.406250
286,141,0.406250
287,143,0.468750
288,135,0.218750
289,144,0.500000
290,125,-0.093750
291,135,0.218750
292,117,-0.343750
293,125,-0.093750
294,110,-0.562500
295,117,-0.343750
296,106,-0.687500
297,110,-0.562500
298,101,-0.843750
299,106,-0.687500
300,97,-0.968750
301,101,-0.843750
302,94,-1.062500
303,98,-0.937500
304,91,-1.156250
305,94,-1.062500
306,88,-1.250000
307,91,-1.156250
308,85,-1.343750
309,88,-1.250000
310,82,-1.437500
311,85,-1.343750
312,79,-1.531250
313,82,-1.437500
314,77,-1.593750
315,79,-1.531250
316,74,-1.687500
317,77,-1.593750
318,70,-1.812500
319,74,-1.687500
320,68,-1.875000
321,71,-1.781250
322,65,-1.968750
323,68,-1.875000
324,62,-2.062500
325,65,-1.968750
326,59,-2.156250
327,62,-2.062500
328,57,-2.218750
329,60,-2.125000
330,54,-2.312500
331,57,-2.218750
332,52,-2.375000
333,55,-2.281250
334,49,-2.468750
335,52,-2.375000
336,47,-2.531250
337,49,-2.468750
338,46,-2.562500
339,54,-2.312500
340,54,-2.312500
341,65,-1.968750
342,65,-1.968750
343,74,-1.687500
344,74,-1.687500
345,79,-1.531250
346,79,-1.531250
347,85,-1.343750
348,85,-1.343750
349,89,-1.218750
350,89,-1.218750
351,93,-1.093750
352,93,-1.093750
353,96,-1.000000
354,96,-1.000000
355,99,-0.906250
356,99,-0.906250
357,102,-0.812500
358,102,-0.812500
359,105,-0.718750
360,105,-0.718750
361,108,-0.625000
362,108,-0.625000
363,111,-0.531250
364,110,-0.562500
365,114,-0.437500
366,114,-0.437500
367,116,-0.375000
368,116,-0.375000
369,119,-0.281250
370,118,-0.312500
371,122,-0.187500
372,121,-0.218750
373,125,-0.093750
374,123,-0.156250
375,127,-0.031250
376,127,-0.031250
377,130,0.062500
378,130,0.062500
379,132,0.125000
380,132,0.125000
381,136,0.250000
382,135,0.218750
383,138,0.312500
384,138,0.312500
385,141,0.406250
386,141,0.406250
387,143,0.468750
388,135,0.218750
389,145,0.531250
390,125,-0.093750
391,135,0.218750
392,116,-0.375000
393,125,-0.093750
394,110,-0.562500
395,116,-0.375000
396,106,-0.687500
397,110,-0.562500
398,101,-0.843750
399,106,-0.687500
400,98,-0.937500
401,101,-0.843750
402,94,-1.062500
403,98,-0.937500
404,91,-1.156250
405,94,-1.062500
406,88,-1.250000
407,91,-1.156250
408,85,-1.343750
409,88,-1.250000
410,82,-1.437500
411,85,-1.343750
412,79,-1.531250
413,82,-1.437500
414,77,-1.593750
415,80,-1.500000
416,74,-1.687500
417,77,-1.593750
418,71,-1.781250
419,74,-1.687500
420,69,-1.843750
421,71,-1.781250
422,65,-1.968750
423,69,-1.843750
424,63,-2.031250
425,65,-1.968750
426,60,-2.125000
427,63,-2.031250
428,57,-2.218750
429,60,-2.125000
430,54,-2.312500
431,57,-2.218750
432,52,-2.375000
433,54,-2.312500
434,49,-2.468750
435,52,-2.375000
436,46,-2.562500
437,49,-2.468750
438,46,-2.562500
439,54,-2.312500
440,54,-2.312500
441,65,-1.968750
442,65,-1.968750
443,73,-1.718750
444,73,-1.718750
445,79,-1.531250
446,79,-1.531250
447,85,-1.343750
448,85,-1.343750
449,89,-1.218750
450,89,-1.218750
451,92,-1.125000
452,92,-1.125000
453,96,-1.000000
454,96,-1.000000
455,99,-0.906250
456,99,-0.906250
457,102,-0.812500
458,102,-0.812500
459,105,-0.718750
460,105,-0.718750
461,109,-0.593750
462,109,-0.593750
463,110,-0.562500
464,110,-0.562500
465,113,-0.468750
466,113,-0.468750
467,117,-0.343750
468,117,-0.343750
469,119,-0.281250
470,119,-0.281250
471,122,-0.187500
472,122,-0.187500
473,124,-0.125000
474,124,-0.125000
475,127,-0.031250
476,127,-0.031250
477,129,0.031250
478,129,0.031250
479,133,0.156250
480,133,0.156250
481,135,0.218750
482,135,0.218750
483,138,0.312500
484,138,0.312500
485,141,0.406250
486,141,0.406250
487,143,0.468750
488,136,0.250000
489,144,0.500000
490,125,-0.093750
491,136,0.250000
492,118,-0.312500
493,125,-0.093750
494,110,-0.562500
495,118,-0.312500
496,106,-0.687500
497,110,-0.562500
498,102,-0.812500
499,106,-0.687500
500,97,-0.968750
501,102,-0.812500
502,94,-1.062500
503,97,-0.968750
504,91,-1.156250
505,94,-1.062500
506,88,-1.250000
507,91,-1.156250
508,85,-1.343750
509,89,-1.218750
510,82,-1.437500
511,85,-1.343750
512,79,-1.531250
513,82,-1.437500
514,77,-1.593750
515,79,-1.531250
516,74,-1.687500
517,77,-1.593750
518,71,-1.781250
519,74,-1.687500
520,68,-1.875000
521,71,-1.781250
522,66,-1.937500
523,68,-1.875000
524,64,-2.000000
525,66,-1.937500
526,60,-2.125000
527,64,-2.000000
528,57,-2.218750
529,60,-2.125000
530,54,-2.312500
531,57,-2.218750
532,51,-2.406250
533,54,-2.312500
534,49,-2.468750
535,51,-2.406250
536,47,-2.531250
537,50,-2.437500
538,46,-2.562500
539,54,-2.312500
540,54,-2.312500
541,65,-1.968750
542,65,-1.968750
543,73,-1.718750
544,73,-1.718750
545,79,-1.531250
546,79,-1.531250
547,84,-1.375000
548,84,-1.375000
549,89,-1.218750
550,89,-1.218750
551,92,-1.125000
552,92,-1.125000
553,96,-1.000000
554,96,-1.000000
555,99,-0.906250
556,99,-0.906250
557,102,-0.812500
558,102,-0.812500
559,105,-0.718750
560,105,-0.718750
561,108,-0.625000
562,108,-0.625000
563,111,-0.531250
564,111,-0.531250
565,114,-0.437500
566,113,-0.468750
567,116,-0.375000
568,116,-0.375000
569,118,-0.312500
570,118,-0.312500
571,122,-0.187500
572,122,-0.187500
573,125,-0.093750
574,125,-0.093750
575,128,0.000000
576,128,0.000000
577,130,0.062500
578,130,0.062500
579,132,0.125000
580,132,0.125000
581,135,0.218750
582,135,0.218750
583,138,0.312500
584,138,0.312500
585,140,0.375000
586,140,0.375000
587,143,0.468750
588,136,0.250000
589,145,0.531250
590,125,-0.093750
591,136,0.250000
592,116,-0.375000
593,125,-0.093750
594,110,-0.562500
595,116,-0.375000
596,106,-0.687500
597,110,-0.562500
598,101,-0.843750
599,106,-0.687500
600,0,-4.000000
601,0,-4.000000
602,0,-4.000000
603,0,-4.000000
604,0,-4.000000
605,0,-4.000000
606,0,-4.000000
607,0,-4.000000
608,0,-4.000000
609,0,-4.000000
610,0,-4.000000
611,0,-4.000000
612,0,-4.000000
613,0,-4.000000
614,0,-4.000000
615,0,-4.000000
616,0,-4.000000
617,0,-4.000000
618,0,-4.000000
619,0,-4.000000
620,0,-4.000000
621,0,-4.000000
622,0,-4.000000
623,0,-4.000000
624,0,-4.000000
625,0,-4.000000
626,0,-4.000000
627,0,-4.000000
628,0,-4.000000
629,0,-4.000000
630,0,-4.000000
631,0,-4.000000
632,0,-4.000000
633,0,-4.000000
634,0,-4.000000
635,0,-4.000000
636,0,-4.000000
637,0,-4.000000
638,0,-4.000000
639,0,-4.000000
640,0,-4.000000
641,0,-4.000000
642,0,-4.000000
643,0,-4.000000
644,0,-4.000000
645,0,-4.000000
646,0,-4.000000
647,0,-4.000000
648,0,-4.000000
649,0,-4.000000
650,0,-4.000000
651,0,-4.000000
652,0,-4.000000
653,0,-4.000000
654,0,-4.000000
655,0,-4.000000
656,0,-4.000000
657,0,-4.000000
658,0,-4.000000
659,0,-4.000000
660,0,-4.000000
661,0,-4.000000
662,0,-4.000000
663,0,-4.000000
664,0,-4.000000
665,0,-4.000000
666,0,-4.000000
667,0,-4.000000
668,0,-4.000000
669,0,-4.000000
670,0,-4.000000
671,0,-4.000000
672,0,-4.000000
673,0,-4.000000
674,0,-4.000000
675,0,-4.000000
676,0,-4.000000
677,0,-4.000000
678,0,-4.000000
679,0,-4.000000
680,0,-4.000000
681,0,-4.000000
682,0,-4.000000
683,0,-4.000000
684,0,-4.000000
685,0,-4.000000
686,0,-4.000000
687,0,-4.000000
688,0,-4.000000
689,0,-4.000000
690,0,-4.000000
691,0,-4.000000
692,0,-4.000000
693,0,-4.000000
694,0,-4.000000
695,0,-4.000000
696,0,-4.000000
697,0,-4.000000
698,0,-4.000000
699,0,-4.000000
700,0,-4.000000
701,0,-4.000000
702,0,-4.000000
703,0,-4.000000
704,0,-4.000000
705,0,-4.000000
706,0,-4.000000
707,0,-4.000000
708,0,-4.000000
709,0,-4.000000
710,0,-4.000000
711,0,-4.000000
712,0,-4.000000
713,0,-4.000000
714,0,-4.000000
715,0,-4.000000
716,0,-4.000000
717,0,-4.000000
718,0,-4.000000
719,0,-4.000000
720,0,-4.000000
721,0,-4.000000
722,0,-4.000000
723,0,-4.000000
724,0,-4.000000
725,0,-4.000000
726,0,-4.000000
727,0,-4.000000
728,0,-4.000000
729,0,-4.000000
730,0,-4.000000
731,0,-4.000000
732,0,-4.000000
733,0,-4.000000
734,0,-4.000000
735,0,-4.000000
736,0,-4.000000
737,0,-4.000000
738,0,-4.000000
739,0,-4.000000
740,0,-4.000000
741,0,-4.000000
742,0,-4.000000
743,0,-4.000000
744,0,-4.000000
745,0,-4.000000
746,0,-4.000000
747,0,-4.000000
748,0,-4.000000
749,0,-4.000000
750,0,-4.000000
751,0,-4.000000
752,0,-4.000000
753,0,-4.000000
754,0,-4.000000
755,0,-4.000000
756,0,-4.000000
757,0,-4.000000
758,0,-4.000000
759,0,-4.000000
760,0,-4.000000
761,0,-4.000000
762,0,-4.000000
763,0,-4.000000
764,0,-4.000000
765,0,-4.000000
766,0,-4.000000
767,0,-4.000000
768,0,-4.000000
769,0,-4.000000
770,0,-4.000000
771,0,-4.000000
772,0,-4.000000
773,0,-4.000000
774,0,-4.000000
775,0,-4.000000
776,0,-4.000000
777,0,-4.000000
778,0,-4.000000
779,0,-4.000000
780,0,-4.000000
781,0,-4.000000
782,0,-4.000000
783,0,-4.000000
784,0,-4.000000
785,0,-4.000000
786,0,-4.000000
787,0,-4.000000
788,0,-4.000000
789,0,-4.000000
790,0,-4.000000
791,0,-4.000000
792,0,-4.000000
793,0,-4.000000
794,0,-4.000000
795,0,-4.000000
796,0,-4.000000
797,0,-4.000000
798,0,-4.000000
799,0,-4.000000
800,0,-4.000000
801,0,-4.000000
802,0,-4.000000
803,0,-4.000000
804,0,-4.000000
805,0,-4.000000
806,0,-4.000000
807,0,-4.000000
808,0,-4.000000
809,0,-4.000000
810,0,-4.000000
811,0,-4.000000
812,0,-4.000000
813,0,-4.000000
814,0,-4.000000
815,0,-4.000000
816,0,-4.000000
817,0,-4.000000
818,0,-4.000000
819,0,-4.000000
820,0,-4.000000
821,0,-4.000000
