sample_idx,raw,ch1_volts
0,152,1.500000
1,152,1.500000
2,38,-5.625000
3,152,1.500000
4,36,-5.750000
5,38,-5.625000
6,34,-5.875000
7,37,-5.687500
8,35,-5.812500
9,36,-5.750000
10,35,-5.812500
11,36,-5.750000
12,35,-5.812500
13,36,-5.750000
14,35,-5.812500
15,36,-5.750000
16,35,-5.812500
17,36,-5.750000
18,35,-5.812500
19,36,-5.750000
20,34,-5.875000
21,36,-5.750000
22,36,-5.750000
23,36,-5.750000
24,35,-5.812500
25,36,-5.750000
26,36,-5.750000
27,36,-5.750000
28,35,-5.812500
29,36,-5.750000
30,35,-5.812500
31,36,-5.750000
32,35,-5.812500
33,36,-5.750000
34,35,-5.812500
35,36,-5.750000
36,35,-5.812500
37,37,-5.687500
38,35,-5.812500
39,36,-5.750000
40,35,-5.812500
41,36,-5.750000
42,35,-5.812500
43,36,-5.750000
44,35,-5.812500
45,36,-5.750000
46,35,-5.812500
47,37,-5.687500
48,35,-5.812500
49,36,-5.750000
50,35,-5.812500
51,36,-5.750000
52,34,-5.875000
53,148,1.250000
54,148,1.250000
55,150,1.375000
56,150,1.375000
57,151,1.437500
58,150,1.375000
59,151,1.437500
60,150,1.375000
61,151,1.437500
62,150,1.375000
63,151,1.437500
64,150,1.375000
65,151,1.437500
66,150,1.375000
67,151,1.437500
68,150,1.375000
69,152,1.500000
70,150,1.375000
71,151,1.437500
72,150,1.375000
73,151,1.437500
74,150,1.375000
75,150,1.375000
76,150,1.375000
77,151,1.437500
78,150,1.375000
79,151,1.437500
80,149,1.312500
81,151,1.437500
82,150,1.375000
83,151,1.437500
84,150,1.375000
85,151,1.437500
86,150,1.375000
87,151,1.437500
88,150,1.375000
89,150,1.375000
90,150,1.375000
91,150,1.375000
92,150,1.375000
93,151,1.437500
94,150,1.375000
95,151,1.437500
96,149,1.312500
97,151,1.437500
98,149,1.312500
99,151,1.437500
100,150,1.375000
101,151,1.437500
102,38,-5.625000
103,151,1.437500
104,35,-5.812500
105,38,-5.625000
106,35,-5.812500
107,36,-5.750000
108,35,-5.812500
109,36,-5.750000
110,35,-5.812500
111,36,-5.750000
112,35,-5.812500
113,36,-5.750000
114,35,-5.812500
115,36,-5.750000
116,36,-5.750000
117,36,-5.750000
118,35,-5.812500
119,36,-5.750000
120,35,-5.812500
121,36,-5.750000
122,35,-5.812500
123,36,-5.750000
124,35,-5.812500
125,36,-5.750000
126,35,-5.812500
127,37,-5.687500
128,35,-5.812500
129,37,-5.687500
130,35,-5.812500
131,36,-5.750000
132,36,-5.750000
133,36,-5.750000
134,36,-5.750000
135,36,-5.750000
136,35,-5.812500
137,36,-5.750000
138,35,-5.812500
139,36,-5.750000
140,35,-5.812500
141,36,-5.750000
142,35,-5.812500
143,36,-5.750000
144,35,-5.812500
145,36,-5.750000
146,35,-5.812500
147,36,-5.750000
148,35,-5.812500
149,36,-5.750000
150,36,-5.750000
151,36,-5.750000
152,35,-5.812500
153,148,1.250000
154,148,1.250000
155,150,1.375000
156,150,1.375000
157,152,1.500000
158,151,1.437500
159,152,1.500000
160,151,1.437500
161,152,1.500000
162,150,1.375000
163,152,1.500000
164,150,1.375000
165,152,1.500000
166,150,1.375000
167,151,1.437500
168,149,1.312500
169,151,1.437500
170,150,1.375000
171,151,1.437500
172,150,1.375000
173,151,1.437500
174,149,1.312500
175,151,1.437500
176,150,1.375000
177,151,1.437500
178,150,1.375000
179,151,1.437500
180,150,1.375000
181,151,1.437500
182,150,1.375000
183,151,1.437500
184,150,1.375000
185,151,1.437500
186,150,1.375000
187,151,1.437500
188,150,1.375000
189,152,1.500000
190,150,1.375000
191,151,1.437500
192,150,1.375000
193,151,1.437500
194,150,1.375000
195,151,1.437500
196,150,1.375000
197,151,1.437500
198,150,1.375000
199,151,1.437500
200,150,1.375000
201,151,1.437500
202,38,-5.625000
203,150,1.375000
204,35,-5.812500
205,38,-5.625000
206,34,-5.875000
207,35,-5.812500
208,34,-5.875000
209,36,-5.750000
210,35,-5.812500
211,36,-5.750000
212,35,-5.812500
213,36,-5.750000
214,35,-5.812500
215,36,-5.750000
216,35,-5.812500
217,36,-5.750000
218,35,-5.812500
219,36,-5.750000
220,35,-5.812500
221,36,-5.750000
222,35,-5.812500
223,36,-5.750000
224,35,-5.812500
225,36,-5.750000
226,34,-5.875000
227,36,-5.750000
228,35,-5.812500
229,36,-5.750000
230,35,-5.812500
231,36,-5.750000
232,36,-5.750000
233,36,-5.750000
234,36,-5.750000
235,36,-5.750000
236,36,-5.750000
237,36,-5.750000
238,36,-5.750000
239,36,-5.750000
240,35,-5.812500
241,36,-5.750000
242,35,-5.812500
243,36,-5.750000
244,35,-5.812500
245,36,-5.750000
246,35,-5.812500
247,36,-5.750000
248,35,-5.812500
249,36,-5.750000
250,35,-5.812500
251,36,-5.750000
252,35,-5.812500
253,147,1.187500
254,147,1.187500
255,151,1.437500
256,151,1.437500
257,151,1.437500
258,150,1.375000
259,152,1.500000
260,150,1.375000
261,151,1.437500
262,150,1.375000
263,151,1.437500
264,150,1.375000
265,152,1.500000
266,150,1.375000
267,151,1.437500
268,150,1.375000
269,151,1.437500
270,150,1.375000
271,151,1.437500
272,150,1.375000
273,151,1.437500
274,150,1.375000
275,151,1.437500
276,150,1.375000
277,151,1.437500
278,150,1.375000
279,151,1.437500
280,150,1.375000
281,151,1.437500
282,150,1.375000
283,152,1.500000
284,150,1.375000
285,151,1.437500
286,150,1.375000
287,150,1.375000
288,150,1.375000
289,151,1.437500
290,150,1.375000
291,151,1.437500
292,150,1.375000
293,151,1.437500
294,150,1.375000
295,151,1.437500
296,149,1.312500
297,152,1.500000
298,150,1.375000
299,151,1.437500
300,150,1.375000
301,152,1.500000
302,38,-5.625000
303,151,1.437500
304,36,-5.750000
305,38,-5.625000
306,35,-5.812500
307,36,-5.750000
308,35,-5.812500
309,36,-5.750000
310,35,-5.812500
311,36,-5.750000
312,35,-5.812500
313,36,-5.750000
314,35,-5.812500
315,36,-5.750000
316,36,-5.750000
317,36,-5.750000
318,36,-5.750000
319,36,-5.750000
320,36,-5.750000
321,36,-5.750000
322,36,-5.750000
323,36,-5.750000
324,35,-5.812500
325,36,-5.750000
326,35,-5.812500
327,36,-5.750000
328,35,-5.812500
329,36,-5.750000
330,35,-5.812500
331,36,-5.750000
332,35,-5.812500
333,36,-5.750000
334,35,-5.812500
335,36,-5.750000
336,35,-5.812500
337,36,-5.750000
338,35,-5.812500
339,36,-5.750000
340,35,-5.812500
341,36,-5.750000
342,35,-5.812500
343,36,-5.750000
344,36,-5.750000
345,36,-5.750000
346,36,-5.750000
347,36,-5.750000
348,35,-5.812500
349,36,-5.750000
350,35,-5.812500
351,36,-5.750000
352,36,-5.750000
353,148,1.250000
354,148,1.250000
355,151,1.437500
356,149,1.312500
357,152,1.500000
358,149,1.312500
359,151,1.437500
360,150,1.375000
361,151,1.437500
362,150,1.375000
363,151,1.437500
364,150,1.375000
365,151,1.437500
366,151,1.437500
367,151,1.437500
368,150,1.375000
369,151,1.437500
370,150,1.375000
371,152,1.500000
372,150,1.375000
373,151,1.437500
374,150,1.375000
375,151,1.437500
376,150,1.375000
377,151,1.437500
378,150,1.375000
379,151,1.437500
380,150,1.375000
381,151,1.437500
382,150,1.375000
383,151,1.437500
384,150,1.375000
385,152,1.500000
386,150,1.375000
387,151,1.437500
388,150,1.375000
389,150,1.375000
390,150,1.375000
391,151,1.437500
392,150,1.375000
393,151,1.437500
394,150,1.375000
395,151,1.437500
396,150,1.375000
397,151,1.437500
398,150,1.375000
399,152,1.500000
400,150,1.375000
401,151,1.437500
402,38,-5.625000
403,151,1.437500
404,35,-5.812500
405,38,-5.625000
406,35,-5.812500
407,36,-5.750000
408,35,-5.812500
409,36,-5.750000
410,35,-5.812500
411,36,-5.750000
412,35,-5.812500
413,36,-5.750000
414,35,-5.812500
415,36,-5.750000
416,35,-5.812500
417,36,-5.750000
418,36,-5.750000
419,36,-5.750000
420,35,-5.812500
421,36,-5.750000
422,35,-5.812500
423,36,-5.750000
424,34,-5.875000
425,36,-5.750000
426,35,-5.812500
427,36,-5.750000
428,35,-5.812500
429,36,-5.750000
430,35,-5.812500
431,36,-5.750000
432,36,-5.750000
433,36,-5.750000
434,35,-5.812500
435,36,-5.750000
436,35,-5.812500
437,36,-5.750000
438,34,-5.875000
439,37,-5.687500
440,36,-5.750000
441,36,-5.750000
442,36,-5.750000
443,36,-5.750000
444,35,-5.812500
445,36,-5.750000
446,36,-5.750000
447,36,-5.750000
448,35,-5.812500
449,36,-5.750000
450,35,-5.812500
451,36,-5.750000
452,35,-5.812500
453,147,1.187500
454,147,1.187500
455,150,1.375000
456,150,1.375000
457,151,1.437500
458,150,1.375000
459,151,1.437500
460,150,1.375000
461,151,1.437500
462,150,1.375000
463,151,1.437500
464,151,1.437500
465,151,1.437500
466,150,1.375000
467,151,1.437500
468,150,1.375000
469,152,1.500000
470,150,1.375000
471,152,1.500000
472,150,1.375000
473,151,1.437500
474,150,1.375000
475,151,1.437500
476,150,1.375000
477,151,1.437500
478,150,1.375000
479,151,1.437500
480,150,1.375000
481,151,1.437500
482,150,1.375000
483,151,1.437500
484,150,1.375000
485,151,1.437500
486,150,1.375000
487,152,1.500000
488,150,1.375000
489,151,1.437500
490,150,1.375000
491,151,1.437500
492,150,1.375000
493,151,1.437500
494,150,1.375000
495,151,1.437500
496,150,1.375000
497,151,1.437500
498,150,1.375000
499,151,1.437500
500,150,1.375000
501,151,1.437500
502,38,-5.625000
503,151,1.437500
504,36,-5.750000
505,38,-5.625000
506,34,-5.875000
507,36,-5.750000
508,34,-5.875000
509,35,-5.812500
510,35,-5.812500
511,36,-5.750000
512,35,-5.812500
513,36,-5.750000
514,35,-5.812500
515,36,-5.750000
516,35,-5.812500
517,36,-5.750000
518,34,-5.875000
519,37,-5.687500
520,34,-5.875000
521,36,-5.750000
522,35,-5.812500
523,36,-5.750000
524,35,-5.812500
525,36,-5.750000
526,36,-5.750000
527,36,-5.750000
528,35,-5.812500
529,36,-5.750000
530,36,-5.750000
531,36,-5.750000
532,35,-5.812500
533,36,-5.750000
534,35,-5.812500
535,36,-5.750000
536,35,-5.812500
537,36,-5.750000
538,36,-5.750000
539,36,-5.750000
540,36,-5.750000
541,36,-5.750000
542,35,-5.812500
543,36,-5.750000
544,35,-5.812500
545,36,-5.750000
546,36,-5.750000
547,36,-5.750000
548,35,-5.812500
549,36,-5.750000
550,35,-5.812500
551,36,-5.750000
552,36,-5.750000
553,148,1.250000
554,148,1.250000
555,151,1.437500
556,150,1.375000
557,152,1.500000
558,150,1.375000
559,152,1.500000
560,150,1.375000
561,151,1.437500
562,150,1.375000
563,152,1.500000
564,150,1.375000
565,151,1.437500
566,150,1.375000
567,151,1.437500
568,150,1.375000
569,151,1.437500
570,150,1.375000
571,151,1.437500
572,151,1.437500
573,151,1.437500
574,150,1.375000
575,151,1.437500
576,150,1.375000
577,151,1.437500
578,150,1.375000
579,151,1.437500
580,150,1.375000
581,151,1.437500
582,150,1.375000
583,151,1.437500
584,150,1.375000
585,151,1.437500
586,150,1.375000
587,151,1.437500
588,149,1.312500
589,151,1.437500
590,150,1.375000
591,151,1.437500
592,150,1.375000
593,151,1.437500
594,150,1.375000
595,151,1.437500
596,150,1.375000
597,151,1.437500
598,150,1.375000
599,151,1.437500
600,93,-2.187500
601,93,-2.187500
602,93,-2.187500
603,94,-2.125000
