sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,123,1.789271,,
1,123,1.789271,,
2,67,-1.710729,,
3,123,1.789271,,
4,66,-1.773229,,
5,67,-1.710729,,
6,65,-1.835729,,
7,66,-1.773229,,
8,65,-1.835729,,
9,66,-1.773229,,
10,65,-1.835729,,
11,66,-1.773229,,
12,65,-1.835729,,
13,66,-1.773229,,
14,66,-1.773229,,
15,66,-1.773229,,
16,65,-1.835729,,
17,66,-1.773229,,
18,65,-1.835729,,
19,66,-1.773229,,
20,65,-1.835729,,
21,66,-1.773229,,
22,65,-1.835729,,
23,66,-1.773229,,
24,65,-1.835729,,
25,66,-1.773229,,
26,65,-1.835729,,
27,66,-1.773229,,
28,65,-1.835729,,
29,66,-1.773229,,
30,66,-1.773229,,
31,66,-1.773229,,
32,65,-1.835729,,
33,66,-1.773229,,
34,65,-1.835729,,
35,66,-1.773229,,
36,65,-1.835729,,
37,66,-1.773229,,
38,65,-1.835729,,
39,66,-1.773229,,
40,65,-1.835729,,
41,66,-1.773229,,
42,65,-1.835729,,
43,66,-1.773229,,
44,65,-1.835729,,
45,66,-1.773229,,
46,65,-1.835729,,
47,66,-1.773229,,
48,65,-1.835729,,
49,66,-1.773229,,
50,65,-1.835729,,
51,66,-1.773229,,
52,66,-1.773229,,
53,122,1.726771,,
54,122,1.726771,,
55,123,1.789271,,
56,123,1.789271,,
57,124,1.851771,,
58,123,1.789271,,
59,124,1.851771,,
60,123,1.789271,,
61,124,1.851771,,
62,123,1.789271,,
63,124,1.851771,,
64,123,1.789271,,
65,123,1.789271,,
66,123,1.789271,,
67,123,1.789271,,
68,123,1.789271,,
69,123,1.789271,,
70,123,1.789271,,
71,123,1.789271,,
72,122,1.726771,,
73,123,1.789271,,
74,122,1.726771,,
75,124,1.851771,,
76,123,1.789271,,
77,124,1.851771,,
78,122,1.726771,,
79,124,1.851771,,
80,122,1.726771,,
81,124,1.851771,,
82,123,1.789271,,
83,123,1.789271,,
84,122,1.726771,,
85,123,1.789271,,
86,122,1.726771,,
87,124,1.851771,,
88,123,1.789271,,
89,124,1.851771,,
90,122,1.726771,,
91,123,1.789271,,
92,122,1.726771,,
93,123,1.789271,,
94,123,1.789271,,
95,124,1.851771,,
96,123,1.789271,,
97,124,1.851771,,
98,123,1.789271,,
99,124,1.851771,,
100,122,1.726771,,
101,123,1.789271,,
102,67,-1.710729,,
103,123,1.789271,,
104,65,-1.835729,,
105,67,-1.710729,,
106,65,-1.835729,,
107,66,-1.773229,,
108,65,-1.835729,,
109,66,-1.773229,,
110,65,-1.835729,,
111,66,-1.773229,,
112,65,-1.835729,,
113,66,-1.773229,,
114,65,-1.835729,,
115,66,-1.773229,,
116,66,-1.773229,,
117,66,-1.773229,,
118,66,-1.773229,,
119,66,-1.773229,,
120,66,-1.773229,,
121,66,-1.773229,,
122,66,-1.773229,,
123,66,-1.773229,,
124,66,-1.773229,,
125,66,-1.773229,,
126,66,-1.773229,,
127,66,-1.773229,,
128,66,-1.773229,,
129,66,-1.773229,,
130,66,-1.773229,,
131,66,-1.773229,,
132,65,-1.835729,,
133,66,-1.773229,,
134,66,-1.773229,,
135,66,-1.773229,,
136,65,-1.835729,,
137,66,-1.773229,,
138,65,-1.835729,,
139,66,-1.773229,,
140,66,-1.773229,,
141,66,-1.773229,,
142,65,-1.835729,,
143,66,-1.773229,,
144,65,-1.835729,,
145,66,-1.773229,,
146,65,-1.835729,,
147,66,-1.773229,,
148,66,-1.773229,,
149,66,-1.773229,,
150,65,-1.835729,,
151,66,-1.773229,,
152,66,-1.773229,,
153,122,1.726771,,
154,122,1.726771,,
155,124,1.851771,,
156,123,1.789271,,
157,124,1.851771,,
158,123,1.789271,,
159,123,1.789271,,
160,123,1.789271,,
161,123,1.789271,,
162,122,1.726771,,
163,124,1.851771,,
164,123,1.789271,,
165,124,1.851771,,
166,122,1.726771,,
167,124,1.851771,,
168,123,1.789271,,
169,124,1.851771,,
170,123,1.789271,,
171,123,1.789271,,
172,122,1.726771,,
173,124,1.851771,,
174,123,1.789271,,
175,124,1.851771,,
176,123,1.789271,,
177,124,1.851771,,
178,123,1.789271,,
179,124,1.851771,,
180,122,1.726771,,
181,124,1.851771,,
182,122,1.726771,,
183,123,1.789271,,
184,123,1.789271,,
185,123,1.789271,,
186,123,1.789271,,
187,123,1.789271,,
188,123,1.789271,,
189,124,1.851771,,
190,123,1.789271,,
191,123,1.789271,,
192,123,1.789271,,
193,123,1.789271,,
194,122,1.726771,,
195,123,1.789271,,
