sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,,,0,-4.927271
1,,,0,-4.927271
2,,,0,-4.927271
3,,,0,-4.927271
4,,,0,-4.927271
5,,,0,-4.927271
6,,,0,-4.927271
7,,,0,-4.927271
8,,,0,-4.927271
9,,,0,-4.927271
10,,,0,-4.927271
11,,,0,-4.927271
12,,,0,-4.927271
13,,,0,-4.927271
14,,,94,0.947729
15,,,94,0.947729
16,,,92,0.822729
17,,,96,1.072729
18,,,90,0.697729
19,,,92,0.822729
20,,,87,0.510229
21,,,90,0.697729
22,,,85,0.385229
23,,,87,0.510229
24,,,82,0.197729
25,,,85,0.385229
26,,,78,-0.052271
27,,,82,0.197729
28,,,76,-0.177271
29,,,78,-0.052271
30,,,74,-0.302271
31,,,76,-0.177271
32,,,71,-0.489771
33,,,74,-0.302271
34,,,68,-0.677271
35,,,71,-0.489771
36,,,64,-0.927271
37,,,68,-0.677271
38,,,62,-1.052271
39,,,64,-0.927271
40,,,60,-1.177271
41,,,62,-1.052271
42,,,60,-1.177271
43,,,63,-0.989771
44,,,63,-0.989771
45,,,66,-0.802271
46,,,66,-0.802271
47,,,68,-0.677271
48,,,68,-0.677271
49,,,71,-0.489771
50,,,70,-0.552271
51,,,74,-0.302271
52,,,74,-0.302271
53,,,77,-0.114771
54,,,77,-0.114771
55,,,80,0.072729
56,,,80,0.072729
57,,,82,0.197729
58,,,82,0.197729
59,,,85,0.385229
60,,,85,0.385229
61,,,88,0.572729
62,,,88,0.572729
63,,,90,0.697729
64,,,90,0.697729
65,,,93,0.885229
66,,,93,0.885229
67,,,95,1.010229
68,,,95,1.010229
69,,,99,1.260229
70,,,99,1.260229
71,,,101,1.385229
72,,,101,1.385229
73,,,104,1.572729
74,,,104,1.572729
75,,,107,1.760229
76,,,107,1.760229
77,,,110,1.947729
78,,,110,1.947729
79,,,112,2.072729
80,,,112,2.072729
81,,,115,2.260229
82,,,115,2.260229
83,,,118,2.447729
84,,,118,2.447729
85,,,121,2.635229
86,,,121,2.635229
87,,,124,2.822729
88,,,124,2.822729
89,,,126,2.947729
90,,,126,2.947729
91,,,129,3.135229
92,,,126,2.947729
93,,,128,3.072729
94,,,124,2.822729
95,,,126,2.947729
96,,,120,2.572729
97,,,124,2.822729
98,,,117,2.385229
99,,,120,2.572729
100,,,114,2.197729
101,,,117,2.385229
102,,,112,2.072729
103,,,114,2.197729
104,,,110,1.947729
105,,,112,2.072729
106,,,106,1.697729
107,,,110,1.947729
108,,,103,1.510229
109,,,106,1.697729
110,,,100,1.322729
111,,,103,1.510229
112,,,98,1.197729
113,,,101,1.385229
114,,,96,1.072729
115,,,98,1.197729
116,,,92,0.822729
117,,,96,1.072729
118,,,90,0.697729
119,,,92,0.822729
120,,,87,0.510229
121,,,90,0.697729
122,,,84,0.322729
123,,,87,0.510229
124,,,82,0.197729
125,,,84,0.322729
126,,,79,0.010229
127,,,82,0.197729
128,,,76,-0.177271
129,,,79,0.010229
130,,,73,-0.364771
131,,,76,-0.177271
132,,,71,-0.489771
133,,,73,-0.364771
134,,,68,-0.677271
135,,,71,-0.489771
136,,,65,-0.864771
137,,,68,-0.677271
138,,,62,-1.052271
139,,,65,-0.864771
140,,,60,-1.177271
141,,,62,-1.052271
142,,,60,-1.177271
143,,,63,-0.989771
144,,,63,-0.989771
145,,,65,-0.864771
146,,,65,-0.864771
147,,,68,-0.677271
148,,,68,-0.677271
149,,,71,-0.489771
150,,,71,-0.489771
151,,,74,-0.302271
152,,,74,-0.302271
153,,,77,-0.114771
154,,,77,-0.114771
155,,,80,0.072729
156,,,80,0.072729
157,,,82,0.197729
158,,,82,0.197729
159,,,85,0.385229
160,,,85,0.385229
161,,,87,0.510229
162,,,87,0.510229
163,,,91,0.760229
164,,,91,0.760229
165,,,93,0.885229
166,,,93,0.885229
167,,,96,1.072729
168,,,96,1.072729
169,,,98,1.197729
170,,,98,1.197729
171,,,101,1.385229
172,,,101,1.385229
173,,,104,1.572729
174,,,104,1.572729
175,,,107,1.760229
176,,,107,1.760229
177,,,110,1.947729
178,,,110,1.947729
179,,,112,2.072729
180,,,112,2.072729
181,,,115,2.260229
182,,,115,2.260229
183,,,118,2.447729
184,,,118,2.447729
185,,,121,2.635229
186,,,121,2.635229
187,,,123,2.760229
188,,,123,2.760229
189,,,126,2.947729
190,,,126,2.947729
191,,,129,3.135229
192,,,126,2.947729
193,,,129,3.135229
194,,,123,2.760229
195,,,126,2.947729
196,,,120,2.572729
197,,,123,2.760229
198,,,117,2.385229
199,,,120,2.572729
200,,,114,2.197729
201,,,117,2.385229
202,,,112,2.072729
203,,,114,2.197729
204,,,109,1.885229
205,,,112,2.072729
206,,,106,1.697729
207,,,109,1.885229
208,,,103,1.510229
209,,,106,1.697729
210,,,101,1.385229
211,,,104,1.572729
212,,,99,1.260229
213,,,101,1.385229
214,,,96,1.072729
215,,,99,1.260229
216,,,93,0.885229
217,,,96,1.072729
218,,,90,0.697729
219,,,93,0.885229
220,,,87,0.510229
221,,,90,0.697729
222,,,84,0.322729
223,,,87,0.510229
224,,,82,0.197729
225,,,84,0.322729
226,,,79,0.010229
227,,,82,0.197729
228,,,76,-0.177271
229,,,79,0.010229
230,,,74,-0.302271
231,,,76,-0.177271
232,,,70,-0.552271
233,,,74,-0.302271
