sample_idx,raw,ch1_volts
0,116,-0.750000
1,116,-0.750000
2,39,-5.562500
3,151,1.437500
4,36,-5.750000
5,39,-5.562500
6,36,-5.750000
7,37,-5.687500
8,36,-5.750000
9,37,-5.687500
10,36,-5.750000
11,37,-5.687500
12,37,-5.687500
13,37,-5.687500
14,36,-5.750000
15,37,-5.687500
16,37,-5.687500
17,37,-5.687500
18,37,-5.687500
19,37,-5.687500
20,36,-5.750000
21,37,-5.687500
22,37,-5.687500
23,37,-5.687500
24,37,-5.687500
25,37,-5.687500
26,36,-5.750000
27,37,-5.687500
28,36,-5.750000
29,37,-5.687500
30,36,-5.750000
31,37,-5.687500
32,36,-5.750000
33,37,-5.687500
34,36,-5.750000
35,37,-5.687500
36,36,-5.750000
37,37,-5.687500
38,37,-5.687500
39,37,-5.687500
40,36,-5.750000
41,37,-5.687500
42,36,-5.750000
43,37,-5.687500
44,37,-5.687500
45,37,-5.687500
46,36,-5.750000
47,37,-5.687500
48,37,-5.687500
49,38,-5.625000
50,36,-5.750000
51,37,-5.687500
52,37,-5.687500
53,149,1.312500
54,149,1.312500
55,152,1.500000
56,152,1.500000
57,152,1.500000
58,151,1.437500
59,152,1.500000
60,151,1.437500
61,152,1.500000
62,151,1.437500
63,152,1.500000
64,152,1.500000
65,153,1.562500
66,151,1.437500
67,152,1.500000
68,151,1.437500
69,152,1.500000
70,151,1.437500
71,152,1.500000
72,151,1.437500
73,152,1.500000
74,151,1.437500
75,152,1.500000
76,151,1.437500
77,152,1.500000
78,151,1.437500
79,152,1.500000
80,151,1.437500
81,152,1.500000
82,151,1.437500
83,152,1.500000
84,151,1.437500
85,152,1.500000
86,150,1.375000
87,152,1.500000
88,151,1.437500
89,153,1.562500
90,151,1.437500
91,152,1.500000
92,151,1.437500
93,152,1.500000
94,151,1.437500
95,152,1.500000
96,151,1.437500
97,152,1.500000
98,151,1.437500
99,152,1.500000
100,151,1.437500
101,152,1.500000
102,39,-5.562500
103,152,1.500000
104,37,-5.687500
105,39,-5.562500
106,36,-5.750000
107,37,-5.687500
108,36,-5.750000
109,37,-5.687500
110,36,-5.750000
111,37,-5.687500
112,36,-5.750000
113,37,-5.687500
114,36,-5.750000
115,37,-5.687500
116,36,-5.750000
117,37,-5.687500
118,36,-5.750000
119,37,-5.687500
120,36,-5.750000
121,37,-5.687500
122,36,-5.750000
123,37,-5.687500
124,35,-5.812500
125,37,-5.687500
126,37,-5.687500
127,37,-5.687500
128,37,-5.687500
129,37,-5.687500
130,37,-5.687500
131,37,-5.687500
132,37,-5.687500
133,37,-5.687500
134,36,-5.750000
135,38,-5.625000
136,36,-5.750000
137,38,-5.625000
138,37,-5.687500
139,37,-5.687500
140,37,-5.687500
141,37,-5.687500
142,37,-5.687500
143,37,-5.687500
144,37,-5.687500
145,37,-5.687500
146,37,-5.687500
147,37,-5.687500
148,37,-5.687500
149,37,-5.687500
150,37,-5.687500
151,37,-5.687500
152,37,-5.687500
153,149,1.312500
154,149,1.312500
155,152,1.500000
156,152,1.500000
157,152,1.500000
158,151,1.437500
159,152,1.500000
160,151,1.437500
161,152,1.500000
162,151,1.437500
163,152,1.500000
164,151,1.437500
165,152,1.500000
166,151,1.437500
167,152,1.500000
168,151,1.437500
169,152,1.500000
170,151,1.437500
171,152,1.500000
172,151,1.437500
173,153,1.562500
174,151,1.437500
175,152,1.500000
176,151,1.437500
177,152,1.500000
178,151,1.437500
179,152,1.500000
180,151,1.437500
181,152,1.500000
182,151,1.437500
183,152,1.500000
184,151,1.437500
185,153,1.562500
186,151,1.437500
187,152,1.500000
188,151,1.437500
189,152,1.500000
190,151,1.437500
191,152,1.500000
192,151,1.437500
193,152,1.500000
194,151,1.437500
195,152,1.500000
196,151,1.437500
197,152,1.500000
198,150,1.375000
199,152,1.500000
200,151,1.437500
201,152,1.500000
202,38,-5.625000
203,152,1.500000
204,37,-5.687500
205,38,-5.625000
206,36,-5.750000
207,37,-5.687500
208,36,-5.750000
209,37,-5.687500
210,36,-5.750000
211,37,-5.687500
212,35,-5.812500
213,37,-5.687500
214,36,-5.750000
215,37,-5.687500
216,37,-5.687500
217,37,-5.687500
218,37,-5.687500
219,37,-5.687500
220,37,-5.687500
221,37,-5.687500
222,37,-5.687500
223,38,-5.625000
224,36,-5.750000
225,37,-5.687500
226,37,-5.687500
227,37,-5.687500
228,36,-5.750000
229,37,-5.687500
230,36,-5.750000
231,37,-5.687500
232,37,-5.687500
233,37,-5.687500
234,36,-5.750000
235,37,-5.687500
236,36,-5.750000
237,37,-5.687500
238,36,-5.750000
239,38,-5.625000
240,37,-5.687500
241,38,-5.625000
242,37,-5.687500
243,37,-5.687500
