sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,123,4.773148,,
1,123,4.773148,,
2,67,1.273148,,
3,123,4.773148,,
4,66,1.210648,,
5,67,1.273148,,
6,65,1.148148,,
7,66,1.210648,,
8,65,1.148148,,
9,66,1.210648,,
10,65,1.148148,,
11,66,1.210648,,
12,65,1.148148,,
13,66,1.210648,,
14,66,1.210648,,
15,66,1.210648,,
16,65,1.148148,,
17,66,1.210648,,
18,65,1.148148,,
19,66,1.210648,,
20,65,1.148148,,
21,66,1.210648,,
22,65,1.148148,,
23,66,1.210648,,
24,65,1.148148,,
25,66,1.210648,,
26,65,1.148148,,
27,66,1.210648,,
28,65,1.148148,,
29,66,1.210648,,
30,66,1.210648,,
31,66,1.210648,,
32,65,1.148148,,
33,66,1.210648,,
34,65,1.148148,,
35,66,1.210648,,
36,65,1.148148,,
37,66,1.210648,,
38,65,1.148148,,
39,66,1.210648,,
40,65,1.148148,,
41,66,1.210648,,
42,65,1.148148,,
43,66,1.210648,,
44,65,1.148148,,
45,66,1.210648,,
46,65,1.148148,,
47,66,1.210648,,
48,65,1.148148,,
49,66,1.210648,,
50,65,1.148148,,
51,66,1.210648,,
52,66,1.210648,,
53,122,4.710648,,
54,122,4.710648,,
55,123,4.773148,,
56,123,4.773148,,
57,124,4.835648,,
58,123,4.773148,,
59,124,4.835648,,
60,123,4.773148,,
61,124,4.835648,,
62,123,4.773148,,
63,124,4.835648,,
64,123,4.773148,,
65,123,4.773148,,
66,123,4.773148,,
67,123,4.773148,,
68,123,4.773148,,
69,123,4.773148,,
70,123,4.773148,,
71,123,4.773148,,
72,122,4.710648,,
73,123,4.773148,,
74,122,4.710648,,
75,124,4.835648,,
76,123,4.773148,,
77,124,4.835648,,
78,122,4.710648,,
79,124,4.835648,,
80,122,4.710648,,
81,124,4.835648,,
82,123,4.773148,,
83,123,4.773148,,
84,122,4.710648,,
85,123,4.773148,,
86,122,4.710648,,
87,124,4.835648,,
88,123,4.773148,,
89,124,4.835648,,
90,122,4.710648,,
91,123,4.773148,,
92,122,4.710648,,
93,123,4.773148,,
94,123,4.773148,,
95,124,4.835648,,
96,123,4.773148,,
97,124,4.835648,,
98,123,4.773148,,
99,124,4.835648,,
100,122,4.710648,,
101,123,4.773148,,
102,67,1.273148,,
103,123,4.773148,,
104,65,1.148148,,
105,67,1.273148,,
106,65,1.148148,,
107,66,1.210648,,
108,65,1.148148,,
109,66,1.210648,,
110,65,1.148148,,
111,66,1.210648,,
112,65,1.148148,,
113,66,1.210648,,
114,65,1.148148,,
115,66,1.210648,,
116,66,1.210648,,
117,66,1.210648,,
118,66,1.210648,,
119,66,1.210648,,
120,66,1.210648,,
121,66,1.210648,,
122,66,1.210648,,
123,66,1.210648,,
124,66,1.210648,,
125,66,1.210648,,
126,66,1.210648,,
127,66,1.210648,,
128,66,1.210648,,
129,66,1.210648,,
130,66,1.210648,,
131,66,1.210648,,
132,65,1.148148,,
133,66,1.210648,,
134,66,1.210648,,
135,66,1.210648,,
136,65,1.148148,,
137,66,1.210648,,
138,65,1.148148,,
139,66,1.210648,,
140,66,1.210648,,
141,66,1.210648,,
142,65,1.148148,,
143,66,1.210648,,
144,65,1.148148,,
145,66,1.210648,,
146,65,1.148148,,
147,66,1.210648,,
148,66,1.210648,,
149,66,1.210648,,
150,65,1.148148,,
151,66,1.210648,,
152,66,1.210648,,
153,122,4.710648,,
154,122,4.710648,,
155,124,4.835648,,
156,123,4.773148,,
157,124,4.835648,,
158,123,4.773148,,
159,123,4.773148,,
160,123,4.773148,,
161,123,4.773148,,
162,122,4.710648,,
163,124,4.835648,,
164,123,4.773148,,
165,124,4.835648,,
166,122,4.710648,,
167,124,4.835648,,
168,123,4.773148,,
169,124,4.835648,,
170,123,4.773148,,
171,123,4.773148,,
172,122,4.710648,,
173,124,4.835648,,
174,123,4.773148,,
175,124,4.835648,,
176,123,4.773148,,
177,124,4.835648,,
178,123,4.773148,,
179,124,4.835648,,
180,122,4.710648,,
181,124,4.835648,,
182,122,4.710648,,
183,123,4.773148,,
184,123,4.773148,,
185,123,4.773148,,
186,123,4.773148,,
187,123,4.773148,,
188,123,4.773148,,
189,124,4.835648,,
190,123,4.773148,,
191,123,4.773148,,
192,123,4.773148,,
193,123,4.773148,,
194,122,4.710648,,
195,123,4.773148,,
196,122,4.710648,,
197,124,4.835648,,
198,123,4.773148,,
199,123,4.773148,,
200,123,4.773148,,
201,124,4.835648,,
202,67,1.273148,,
203,123,4.773148,,
204,65,1.148148,,
205,67,1.273148,,
206,65,1.148148,,
207,66,1.210648,,
208,65,1.148148,,
209,66,1.210648,,
210,65,1.148148,,
211,66,1.210648,,
212,65,1.148148,,
213,66,1.210648,,
214,65,1.148148,,
215,66,1.210648,,
216,65,1.148148,,
217,66,1.210648,,
218,66,1.210648,,
219,66,1.210648,,
220,66,1.210648,,
221,66,1.210648,,
222,65,1.148148,,
223,66,1.210648,,
224,65,1.148148,,
225,66,1.210648,,
226,65,1.148148,,
