sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,,,0,-5.755404
1,,,0,-5.755404
2,,,0,-5.755404
3,,,0,-5.755404
4,,,0,-5.755404
5,,,0,-5.755404
6,,,0,-5.755404
7,,,0,-5.755404
8,,,0,-5.755404
9,,,0,-5.755404
10,,,0,-5.755404
11,,,0,-5.755404
12,,,0,-5.755404
13,,,0,-5.755404
14,,,94,0.119596
15,,,94,0.119596
16,,,92,-0.005404
17,,,96,0.244596
18,,,90,-0.130404
19,,,92,-0.005404
20,,,87,-0.317904
21,,,90,-0.130404
22,,,85,-0.442904
23,,,87,-0.317904
24,,,82,-0.630404
25,,,85,-0.442904
26,,,78,-0.880404
27,,,82,-0.630404
28,,,76,-1.005404
29,,,78,-0.880404
30,,,74,-1.130404
31,,,76,-1.005404
32,,,71,-1.317904
33,,,74,-1.130404
34,,,68,-1.505404
35,,,71,-1.317904
36,,,64,-1.755404
37,,,68,-1.505404
38,,,62,-1.880404
39,,,64,-1.755404
40,,,60,-2.005404
41,,,62,-1.880404
42,,,60,-2.005404
43,,,63,-1.817904
44,,,63,-1.817904
45,,,66,-1.630404
46,,,66,-1.630404
47,,,68,-1.505404
48,,,68,-1.505404
49,,,71,-1.317904
50,,,70,-1.380404
51,,,74,-1.130404
52,,,74,-1.130404
53,,,77,-0.942904
54,,,77,-0.942904
55,,,80,-0.755404
56,,,80,-0.755404
57,,,82,-0.630404
58,,,82,-0.630404
59,,,85,-0.442904
60,,,85,-0.442904
61,,,88,-0.255404
62,,,88,-0.255404
63,,,90,-0.130404
64,,,90,-0.130404
65,,,93,0.057096
66,,,93,0.057096
67,,,95,0.182096
68,,,95,0.182096
69,,,99,0.432096
70,,,99,0.432096
71,,,101,0.557096
72,,,101,0.557096
73,,,104,0.744596
74,,,104,0.744596
75,,,107,0.932096
76,,,107,0.932096
77,,,110,1.119596
78,,,110,1.119596
79,,,112,1.244596
80,,,112,1.244596
81,,,115,1.432096
82,,,115,1.432096
83,,,118,1.619596
84,,,118,1.619596
85,,,121,1.807096
86,,,121,1.807096
87,,,124,1.994596
88,,,124,1.994596
89,,,126,2.119596
90,,,126,2.119596
91,,,129,2.307096
92,,,126,2.119596
93,,,128,2.244596
94,,,124,1.994596
95,,,126,2.119596
96,,,120,1.744596
97,,,124,1.994596
98,,,117,1.557096
99,,,120,1.744596
100,,,114,1.369596
101,,,117,1.557096
102,,,112,1.244596
103,,,114,1.369596
104,,,110,1.119596
105,,,112,1.244596
106,,,106,0.869596
107,,,110,1.119596
108,,,103,0.682096
109,,,106,0.869596
110,,,100,0.494596
