sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,93,-0.005298,128,2.654363
1,93,-0.005298,126,2.494363
2,93,-0.005298,128,2.654363
3,93,-0.005298,124,2.334363
4,93,-0.005298,126,2.494363
5,93,-0.005298,122,2.174363
6,93,-0.005298,124,2.334363
7,93,-0.005298,119,1.934363
8,93,-0.005298,122,2.174363
9,93,-0.005298,116,1.694363
10,93,-0.005298,119,1.934363
11,94,0.074702,112,1.374363
12,93,-0.005298,116,1.694363
13,93,-0.005298,109,1.134363
14,93,-0.005298,112,1.374363
15,94,0.074702,104,0.734363
16,93,-0.005298,109,1.134363
17,93,-0.005298,99,0.334363
18,93,-0.005298,104,0.734363
19,94,0.074702,96,0.094363
20,93,-0.005298,99,0.334363
21,93,-0.005298,92,-0.225637
22,93,-0.005298,96,0.094363
23,93,-0.005298,87,-0.625637
24,93,-0.005298,92,-0.225637
25,93,-0.005298,83,-0.945637
26,93,-0.005298,87,-0.625637
27,93,-0.005298,78,-1.345637
28,93,-0.005298,83,-0.945637
29,93,-0.005298,75,-1.585637
30,93,-0.005298,78,-1.345637
31,93,-0.005298,72,-1.825637
32,93,-0.005298,75,-1.585637
33,94,0.074702,69,-2.065637
34,93,-0.005298,72,-1.825637
35,93,-0.005298,66,-2.305637
36,93,-0.005298,69,-2.065637
37,93,-0.005298,63,-2.545637
38,93,-0.005298,66,-2.305637
39,93,-0.005298,62,-2.625637
40,93,-0.005298,64,-2.465637
41,93,-0.005298,61,-2.705637
42,93,-0.005298,62,-2.625637
43,93,-0.005298,60,-2.785637
44,93,-0.005298,61,-2.705637
45,93,-0.005298,59,-2.865637
46,93,-0.005298,60,-2.785637
47,93,-0.005298,60,-2.785637
48,93,-0.005298,60,-2.785637
49,93,-0.005298,60,-2.785637
50,93,-0.005298,61,-2.705637
51,94,0.074702,60,-2.785637
52,93,-0.005298,62,-2.625637
53,93,-0.005298,62,-2.625637
54,93,-0.005298,64,-2.465637
55,93,-0.005298,64,-2.465637
56,93,-0.005298,66,-2.305637
57,93,-0.005298,66,-2.305637
58,93,-0.005298,70,-1.985637
59,93,-0.005298,70,-1.985637
60,93,-0.005298,72,-1.825637
61,94,0.074702,72,-1.825637
62,93,-0.005298,76,-1.505637
63,94,0.074702,76,-1.505637
64,93,-0.005298,80,-1.185637
65,93,-0.005298,80,-1.185637
66,93,-0.005298,84,-0.865637
67,93,-0.005298,84,-0.865637
68,93,-0.005298,88,-0.545637
69,93,-0.005298,88,-0.545637
70,93,-0.005298,92,-0.225637
71,94,0.074702,92,-0.225637
72,93,-0.005298,96,0.094363
73,94,0.074702,96,0.094363
74,92,-0.085298,101,0.494363
75,93,-0.005298,101,0.494363
76,93,-0.005298,105,0.814363
77,93,-0.005298,105,0.814363
78,92,-0.085298,109,1.134363
79,93,-0.005298,109,1.134363
80,93,-0.005298,113,1.454363
81,94,0.074702,113,1.454363
82,93,-0.005298,116,1.694363
83,94,0.074702,116,1.694363
84,93,-0.005298,120,2.014363
85,93,-0.005298,120,2.014363
86,93,-0.005298,122,2.174363
87,93,-0.005298,122,2.174363
88,93,-0.005298,124,2.334363
89,93,-0.005298,124,2.334363
90,93,-0.005298,126,2.494363
91,93,-0.005298,126,2.494363
92,93,-0.005298,128,2.654363
93,94,0.074702,128,2.654363
94,92,-0.085298,129,2.734363
95,93,-0.005298,128,2.654363
96,93,-0.005298,129,2.734363
97,93,-0.005298,128,2.654363
98,93,-0.005298,129,2.734363
99,93,-0.005298,127,2.574363
100,93,-0.005298,128,2.654363
101,94,0.074702,126,2.494363
102,93,-0.005298,128,2.654363
103,93,-0.005298,124,2.334363
104,93,-0.005298,126,2.494363
105,93,-0.005298,122,2.174363
106,93,-0.005298,124,2.334363
107,93,-0.005298,119,1.934363
108,93,-0.005298,122,2.174363
109,93,-0.005298,115,1.614363
110,93,-0.005298,119,1.934363
111,93,-0.005298,112,1.374363
112,93,-0.005298,115,1.614363
113,93,-0.005298,108,1.054363
114,92,-0.085298,112,1.374363
115,93,-0.005298,104,0.734363
116,93,-0.005298,108,1.054363
117,93,-0.005298,100,0.414363
118,93,-0.005298,104,0.734363
119,93,-0.005298,96,0.094363
120,93,-0.005298,100,0.414363
121,93,-0.005298,92,-0.225637
122,93,-0.005298,96,0.094363
123,94,0.074702,87,-0.625637
124,93,-0.005298,92,-0.225637
125,93,-0.005298,83,-0.945637
126,93,-0.005298,87,-0.625637
127,93,-0.005298,79,-1.265637
128,93,-0.005298,83,-0.945637
129,93,-0.005298,75,-1.585637
130,92,-0.085298,79,-1.265637
131,93,-0.005298,72,-1.825637
132,93,-0.005298,75,-1.585637
133,93,-0.005298,68,-2.145637
134,93,-0.005298,72,-1.825637
135,93,-0.005298,65,-2.385637
136,93,-0.005298,68,-2.145637
137,93,-0.005298,64,-2.465637
138,93,-0.005298,65,-2.385637
139,93,-0.005298,62,-2.625637
140,93,-0.005298,64,-2.465637
141,93,-0.005298,60,-2.785637
142,93,-0.005298,62,-2.625637
143,93,-0.005298,60,-2.785637
144,93,-0.005298,61,-2.705637
145,93,-0.005298,59,-2.865637
146,93,-0.005298,60,-2.785637
147,93,-0.005298,59,-2.865637
148,93,-0.005298,60,-2.785637
149,93,-0.005298,60,-2.785637
150,93,-0.005298,60,-2.785637
151,94,0.074702,60,-2.785637
152,93,-0.005298,62,-2.625637
153,94,0.074702,62,-2.625637
154,93,-0.005298,64,-2.465637
155,93,-0.005298,64,-2.465637
156,92,-0.085298,66,-2.305637
157,93,-0.005298,66,-2.305637
158,93,-0.005298,69,-2.065637
159,93,-0.005298,69,-2.065637
160,93,-0.005298,72,-1.825637
161,93,-0.005298,72,-1.825637
162,93,-0.005298,76,-1.505637
163,94,0.074702,76,-1.505637
164,93,-0.005298,80,-1.185637
165,93,-0.005298,80,-1.185637
166,93,-0.005298,84,-0.865637
167,93,-0.005298,84,-0.865637
168,93,-0.005298,88,-0.545637
169,93,-0.005298,88,-0.545637
170,93,-0.005298,92,-0.225637
171,93,-0.005298,92,-0.225637
172,93,-0.005298,96,0.094363
173,93,-0.005298,96,0.094363
174,93,-0.005298,101,0.494363
175,93,-0.005298,101,0.494363
176,93,-0.005298,105,0.814363
177,93,-0.005298,105,0.814363
178,93,-0.005298,109,1.134363
179,93,-0.005298,108,1.054363
180,93,-0.005298,113,1.454363
181,93,-0.005298,113,1.454363
182,93,-0.005298,116,1.694363
183,94,0.074702,116,1.694363
184,93,-0.005298,120,2.014363
185,94,0.074702,120,2.014363
186,93,-0.005298,122,2.174363
187,93,-0.005298,122,2.174363
188,93,-0.005298,124,2.334363
189,93,-0.005298,124,2.334363
190,93,-0.005298,126,2.494363
191,93,-0.005298,126,2.494363
192,92,-0.085298,128,2.654363
193,94,0.074702,128,2.654363
194,93,-0.005298,129,2.734363
195,93,-0.005298,128,2.654363
196,93,-0.005298,129,2.734363
197,93,-0.005298,128,2.654363
198,93,-0.005298,129,2.734363
199,93,-0.005298,128,2.654363
200,93,-0.005298,128,2.654363
201,93,-0.005298,126,2.494363
202,93,-0.005298,128,2.654363
203,93,-0.005298,124,2.334363
204,93,-0.005298,126,2.494363
205,93,-0.005298,122,2.174363
206,93,-0.005298,124,2.334363
207,93,-0.005298,118,1.854363
208,93,-0.005298,122,2.174363
209,93,-0.005298,115,1.614363
210,93,-0.005298,118,1.854363
211,93,-0.005298,112,1.374363
212,93,-0.005298,115,1.614363
213,93,-0.005298,108,1.054363
214,93,-0.005298,112,1.374363
215,93,-0.005298,104,0.734363
216,93,-0.005298,108,1.054363
217,94,0.074702,100,0.414363
218,93,-0.005298,104,0.734363
219,94,0.074702,96,0.094363
220,93,-0.005298,100,0.414363
221,93,-0.005298,92,-0.225637
222,93,-0.005298,96,0.094363
223,93,-0.005298,87,-0.625637
224,93,-0.005298,92,-0.225637
225,93,-0.005298,83,-0.945637
226,93,-0.005298,87,-0.625637
227,93,-0.005298,79,-1.265637
228,93,-0.005298,83,-0.945637
229,93,-0.005298,75,-1.585637
230,93,-0.005298,79,-1.265637
231,93,-0.005298,71,-1.905637
232,93,-0.005298,75,-1.585637
233,93,-0.005298,68,-2.145637
234,92,-0.085298,71,-1.905637
235,93,-0.005298,66,-2.305637
236,93,-0.005298,68,-2.145637
237,93,-0.005298,64,-2.465637
238,93,-0.005298,66,-2.305637
239,93,-0.005298,62,-2.625637
240,93,-0.005298,64,-2.465637
241,93,-0.005298,61,-2.705637
242,93,-0.005298,62,-2.625637
243,93,-0.005298,60,-2.785637
244,93,-0.005298,61,-2.705637
245,93,-0.005298,59,-2.865637
246,93,-0.005298,60,-2.785637
247,93,-0.005298,59,-2.865637
248,93,-0.005298,60,-2.785637
